,station,catchment,district,latitude,longitude,Koppen,Thorntwaite
0,JHUNJHUNU,403,JHUNJHUNU,28.008,75.023,Aw,DA'w
1,CHIRAWA,403,JHUNJHUNU,28.014,75.039,Aw,DA'w
2,KHETRI,403,JHUNJHUNU,28,75.048,Aw,DA'w
3,UDAIPURWATI,403,JHUNJHUNU,27.043,75.029,Aw,DA'w
4,PILANI (A),403,JHUNJHUNU,28.021,75.036,Bshw,DA'w
5,BHARATPUR,403,BHARATPUR,27.03,77,Cwq,DA'w
6,DEEG,403,BHARATPUR,27.08,77,Cwq,DA'w
7,KAMAN,403,BHARATPUR,27.09,77.06,Cwq,DA'w
8,KUMBHER,403,BHARATPUR,27.09,77.02,Cwq,DA'w
9,NAGAR,403,BHARATPUR,27.06,77.05,Cwq,DA'w
10,PAHARI,403,BHARATPUR,27.02,77,Cwq,DA'w
11,RUPWAS,403,BHARATPUR,27,77.05,Cwq,DA'w
12,WEIR,403,BHARATPUR,27.01,77,Cwq,DA'w
13,SEWAR BUNDH *,403,BHARATPUR,27.05,77,Cwq,DA'w
14,HINGOTA*,403,BHARATPUR,27.07,77.02,Cwq,DA'w
15,UCHAIN*,403,BHARATPUR,27.06,77.09,Cwq,DA'w
16,HALENA*,403,BHARATPUR,27.07,77.07,Cwq,DA'w
17,MOTIJHEEL*,403,BHARATPUR,27.04,77,Cwq,DA'w
18,HINGOTA *,403,BHARATPUR,27.007,77.002,Cwq,DA'w
19,NAGAUR,600,NAGAUR,27.012,74.045,Bshw,DA'w
20,DIDWANA,600,NAGAUR,27.024,74.035,Bshw,DA'w
21,PARBATSAR,600,NAGAUR,26.053,74.035,Bshw,DA'w
22,MERTA CITY,108,NAGAUR,26.038,74.002,Bshw,DA'w
23,NAWA,600,NAGAUR,27.001,75,Bshw,DA'w
24,JAYAL,600,NAGAUR,27.013,74.012,Bshw,DA'w
25,DEGANA,600,NAGAUR,26.054,74.02,Bshw,DA'w
26,LADNU,600,NAGAUR,27.038,74.023,Bshw,DA'w
27,SIKAR,600,SIKAR,27.037,75.009,Bshw,DA'w
28,NEEM KA THANA,403,SIKAR,27.044,75.047,Bshw,DA'w
29,DANTA RAMGARH,600,SIKAR,27.015,75.012,Bshw,DA'w
30,SRIMADHOPUR,600,SIKAR,27.028,75.036,Bshw,DA'w
31,FATEHPUR,600,SIKAR,27.059,74.058,Bshw,DA'w
32,LAXMANGARH,600,SIKAR,27.049,75.002,Bshw,DA'w
33,RAMGARH,600,SIKAR,27.015,75.01,Bshw,DA'w
34,SIKAR (A),600,SIKAR,27.037,75.008,Bshw,DA'w
35,JODHPUR,108,JODHPUR,26.018,73.002,Bshw,DA'w
36,BILARA,108,JODHPUR,26.011,73.042,Bshw,DA'w
37,SHERGARH,108,JODHPUR,26.02,72.018,Bshw,DA'w
38,OSIAN,108,JODHPUR,26.043,72.055,Bshw,DA'w
39,PHALODI,600,JODHPUR,27.008,72.022,Bshw,EA'd
40,JODHPUR (A),108,JODHPUR,26.018,73.001,Bshw,DA'w
41,BASWA,406,DAUSA,27.09,76.05,Cwq,DA'w
42,DAUSA,406,DAUSA,26.04,76,Cwq,DA'w
43,LALSOT,406,DAUSA,26.03,76,Cwq,DA'w
44,MAHUWA,406,DAUSA,27.03,76.05,Cwq,DA'w
45,SIKRAI,406,DAUSA,26.05,76.02,Cwq,DA'w
46,SENTHAL SAGAR *,406,DAUSA,27.06,76,Cwq,DA'w
47,MOREL DAM*,406,DAUSA,26.07,76.02,Cwq,DA'w
54,KISHANGANJ,405,BARAN,26.006,76.039,Cwq,DA'w
55,MANDAL,406,BHILWARA,25.09,74.05,Cwq,DA'w
56,SHAHPURA,406,BHILWARA,25.07,74.06,Cwq,DA'w
57,ARWAR DAM *,406,BHILWARA,25.08,74.09,Cwq,DA'w
58,KOTHARI DAM *,406,BHILWARA,25.08,75,Cwq,DA'w
59,AJMER,108,AJMER,26.027,74.037,Bshw,DA'w
60,ARAIN,406,AJMER,26.027,75.003,Cwq,DA'w
61,BHINAI,406,AJMER,26.004,74.046,Bshw,DA'w
62,GOELA,406,AJMER,26.007,74.057,Bshw,DA'w
63,KISHANGARH,406,AJMER,26.034,74.051,Bshw,DA'w
64,MANGALIAWAS,108,AJMER,26.017,74.037,Bshw,DA'w
65,NASIRABAD,406,AJMER,26.017,74.044,Bshw,DA'w
66,PISANGAN,108,AJMER,26.024,74.023,Bshw,DA'w
67,PUSHKAR,108,AJMER,26.03,74.033,Bshw,DA'w
68,SAWAR,406,AJMER,26.004,75.001,Cwq,DA'w
69,SRINAGAR,406,AJMER,26.026,74.04,Bshw,DA'w
73,JAWAJA,108,AJMER,25.07,74.03,Cwq,DA'w
74,KEKRI,406,AJMER,25.08,75.09,Cwq,DA'w
82,BEAWAR,108,AJMER,26.06,74.09,Bshw,DA'w
83,MALPURA,406,TONK,26.017,75.023,Cwq,DA'w
84,NIWAI,406,TONK,26.021,75.055,Cwq,DA'w
85,TODARAISINGH,406,TONK,26.002,75.029,Cwq,DA'w
86,TONK,406,TONK,26.01,75.048,Cwq,DA'w
87,MASHI TANK *,406,TONK,26.011,75.045,Cwq,DA'w
88,TORDI SAGAR *,406,TONK,26.012,75.025,Cwq,DA'w
89,TONK (A),406,TONK,26.01,75.045,Cwq,DA'w
90,CHOHTAN,108,BARMER,25.09,71.04,Bshw,DA'w
91,SHEO,108,BARMER,26.01,71.05,Bshw,EA'd
92,SIWANA,108,BARMER,25.09,72.05,Bshw,DA'w
93,BIKANER,600,BIKANER,28.01,73.08,Bwhw,DB'w
94,LUNKARANSAR,600,BIKANER,28,73.05,Bwhw,DB'w
95,MAGRA ( KOT.),600,BIKANER,28.01,73,Bwhw,DB'w
96,SURPURA ( NOKHA ),600,BIKANER,27.05,73.09,Bshw,DA'w
97,DUNGARGARH,600,BIKANER,28.04,74,Bwhw,DB'w
98,PUNGAL,600,BIKANER,27.01,73.05,Bshw,DA'w
100,JAITARAN,108,PALI,26.012,73.057,Bshw,DA'w
101,RAIPUR,108,PALI,26.003,74.002,Bshw,DA'w
102,BAR *,108,PALI,26.005,74.005,Bshw,DA'w
103,GIRINANDA *,108,PALI,26.017,74.012,Bshw,DA'w
104,SARDARSAMAND *,108,PALI,26.001,73.023,Bshw,DA'w
105,CHOPRA *,108,PALI,26.003,73.025,Bshw,DA'w
106,KAROLI,406,KAROLI,26.03,76.001,Cwq,DA'w
107,SAPOTARA,406,KAROLI,26.017,76.045,Cwq,DA'w
108,TODABHIM,406,KAROLI,26.055,76.049,Cwq,DA'w
109,NADOTI,406,KAROLI,26.043,76.044,Cwq,DA'w
110,SRI MAHAVEERJI*,406,KAROLI,26.042,76.055,Cwq,DA'w
111,KALISIL*,406,KAROLI,26.017,76.046,Cwq,DA'w
112,KELADEVI*,406,KAROLI,26.02,76.055,Cwq,DA'w
114,KHANDAR,406,SAWAI MADHO,26.001,76.037,Cwq,DA'w
115,GANGAPUR CITY,406,SAWAI MADHO,26.029,76.044,Cwq,DA'w
116,BAMANWAS,406,Sawaimadhopur,26.03,76.035,Cwq,DA'w
117,BONLI,406,Sawaimadhopur,26.02,76.014,Cwq,DA'w
118,MORANSAGAR *,406,Sawaimadhopur,26.041,76.033,Cwq,DA'w
119,DHEEL BUND *,405,Sawaimadhopur,26.012,76.008,Cwq,DA'w
120,AMBER,406,JAIPUR,26.059,75.052,Cwq,DA'w
121,BAIRATH,403,JAIPUR,27.027,76.011,Cwq,DA'w
122,BASSI,406,JAIPUR,26.05,76.004,Cwq,DA'w
123,CHAKSU,406,JAIPUR,26.036,75.057,Cwq,DA'w
124,CHOMU,600,JAIPUR,27.01,75.043,Bshw,DA'w
125,DUDU ( MOZMABAD ),406,JAIPUR,26.041,75.014,Cwq,DA'w
126,JAIPUR,406,JAIPUR,26.055,76.05,Cwq,DA'w
127,JAMWA RAMGARH,403,JAIPUR,27.004,76.002,Cwq,DA'w
128,KOTPUTLI,403,JAIPUR,27.043,76.013,Cwq,DA'w
129,NARAINA,406,JAIPUR,26.048,75.013,Cwq,DA'w
130,PAOTA,403,JAIPUR,26.052,76.056,Cwq,DA'w
131,PHAGI,406,JAIPUR,26.035,75.034,Cwq,DA'w
132,PHULERA,406,JAIPUR,26.045,75.014,Cwq,DA'w
133,SAMBHAR,600,JAIPUR,26.055,75.011,Cwq,DA'w
134,SANGANER,406,JAIPUR,26.048,75.047,Cwq,DA'w
135,KANOTA*,406,JAIPUR,26.053,75.057,Cwq,DA'w
136,RAMGARH DAM*,406,JAIPUR,27.002,76.002,Cwq,DA'w
137,CHAPPARWARA*,406,JAIPUR,26.037,75.015,Cwq,DA'w
138,SAMOD,406,JAIPUR,27.01,75.045,Bshw,DA'w
156,JAIPUR*,406,JAIPUR,26.05,75,Cwq,DA'w
158,JAIPUR AD. ( A ),406,JAIPUR,26.049,75.048,Cwq,DA'w
159,JOBNER AGRO,600,JAIPUR,27,75.005,Bshw,DA'w
160,JAIPUR (A),406,JAIPUR,26.04,75.08,Cwq,DA'w
161,JAIPUR ( AD.),406,JAIPUR,26.09,75.08,Cwq,DA'w
163,J.RAMGARH,403,JAIPUR,27,76,Cwq,DA'w
165,GANGANAGAR (A),202,GANGANAGAR,29.055,73.053,Bwhw,DB'w
166,KARANPUR,202,GANGANAGAR,29.035,74.019,Bwhw,DB'w
167,PADAMPUR,202,GANGANAGAR,29.041,73.037,Bwhw,DB'w
168,RAISINGH NAGAR,202,GANGANAGAR,29.032,73.027,Bwhw,DB'w
169,ANUPGARH,202,GANGANAGAR,29.012,73.014,Bwhw,DB'w
170,SURATGARH,202,GANGANAGAR,29.019,73.045,Bwhw,DB'w
171,NOHAR,202,GANGANAGAR,29.011,74.046,Bwhw,DB'w
172,BHADRA,202,GANGANAGAR,29.008,75.01,Bwhw,DB'w
173,SADULSHAHAR,202,GANGANAGAR,29.054,73.01,Bwhw,DB'w
174,SANGARIA,202,GANGANAGAR,29.05,74.027,Bwhw,DB'w
175,TIBI,202,GANGANAGAR,29.032,74.03,Bwhw,DB'w
176,NETAWALI *,202,GANGANAGAR,29.05,73.055,Bwhw,DB'w
177,CHUNABAD *,202,GANGANAGAR,29.056,73.046,Bwhw,DB'w
178,SULEMANKI *,202,GANGANAGAR,29.045,73.043,Bwhw,DB'w
179,FAQIRWALI *,202,GANGANAGAR,29.037,73.043,Bwhw,DB'w
180,JETSARÂ ,202,GANGANAGAR,29.021,73.04,Bwhw,DB'w
181,RAMSINGHPUR *,202,GANGANAGAR,29.012,73.023,Bwhw,DB'w
182,SHRI VIJAY NAGAR *,202,GANGANAGAR,29.015,73.032,Bwhw,DB'w
183,DABLA *,202,GANGANAGAR,29.03,73.038,Bwhw,DB'w
184,GAJSINGPUR *,202,GANGANAGAR,29.039,73.028,Bwhw,DB'w
185,KESRISINGH *,202,GANGANAGAR,29.056,73.038,Bwhw,DB'w
186,PABUSAR *,202,GANGANAGAR,29.045,73.029,Bwhw,DB'w
187,SUREWALA *,202,GANGANAGAR,29.036,74.034,Bwhw,DB'w
188,GUDIA *,202,GANGANAGAR,29.049,74.032,Bwhw,DB'w
189,PUCCASARNAR *,202,GANGANAGAR,29.041,74.01,Bwhw,DB'w
190,SUNDERPURA *,202,GANGANAGAR,29.031,73.05,Bwhw,DB'w
191,DHABAN *,202,GANGANAGAR,29.054,74.031,Bwhw,DB'w
192,KHAT *,202,GANGANAGAR,29.005,73.02,Bwhw,DB'w
193,Â PILIBANGAN *,202,GANGANAGAR,29.027,74.004,Bwhw,DB'w
194,KARNISAR *,202,GANGANAGAR,29.023,73.053,Bwhw,DB'w
195,CHHANI *,202,GANGANAGAR,29.013,75.02,Bwhw,DB'w
196,RAMGARH *,202,GANGANAGAR,29.013,74.058,Bwhw,DB'w
197,PHEPHANA *,202,GANGANAGAR,29.021,74.054,Bwhw,DB'w
198,Â T.A.SINGH *,202,GANGANAGAR,29.01,73.015,Bwhw,DB'w
199,DHOLAPANI *,202,GANGANAGAR,29.045,74.016,Bwhw,DB'w
200,CHHANI,202,GANGANAGAR,29.015,73.022,Bwhw,DB'w
201,CHURU,600,CHURU,28.08,74.08,Bshw,DB'w
202,RAJGARH,600,CHURU,28.08,75.03,Bshw,DB'w
203,RATANGARH,600,CHURU,28.05,74.07,Bshw,DB'w
204,SARDARSHAHAR,600,CHURU,28.06,74.09,Bshw,DB'w
205,SUJANGARH,600,CHURU,27.02,74.09,Bshw,DA'w
206,TARANAGAR,600,CHURU,28,75.02,Bshw,DB'w
210,FATEHGARH,600,JAISALMER,26.03,71.011,Bshw,EA'd
211,POKARAN,600,JAISALMER,26.056,71.055,Bshw,EA'd
212,NOKH,600,JAISALMER,27.034,72.016,Bwhw,EA'd
213,MANSAROWAR *,406,Sawaimadhopur,26.02,76.027,Cwq,DA'w
214,DUBBI-BANAS *,406,Sawaimadhopur,26.012,76.055,Cwq,DA'w
217,BIRAN *,108,JODHPUR,26.037,73.02,Bshw,DA'w
218,JASWANT SAGARÂ Â *,108,JODHPUR,26.013,73.041,Bshw,DA'w
219,ALWAR,403,ALWAR,27.04,76.06,Cwq,DA'w
220,BANSUR,403,ALWAR,27.02,76.01,Cwq,DA'w
221,BEHROD,403,ALWAR,27.03,76.07,Cwq,DA'w
222,GOVINDGARH,403,ALWAR,27,77,Cwq,DA'w
