,station,catchment,district,latitude,longitude,Koppen
0,JHUNJHUNU,403,JHUNJHUNU,28.008,75.023,Aw
0,CHIRAWA,403,JHUNJHUNU,28.014,75.039,Aw
0,KHETRI,403,JHUNJHUNU,28,75.048,Aw
0,UDAIPURWATI,403,JHUNJHUNU,27.043,75.029,Aw
0,PILANI (A),403,JHUNJHUNU,28.021,75.036,Bshw
0,BHARATPUR,403,BHARATPUR,27.03,77,Cwq
0,DEEG,403,BHARATPUR,27.08,77,Cwq
0,KAMAN,403,BHARATPUR,27.09,77.06,Cwq
0,KUMBHER,403,BHARATPUR,27.09,77.02,Cwq
0,NAGAR,403,BHARATPUR,27.06,77.05,Cwq
0,PAHARI,403,BHARATPUR,27.02,77,Cwq
0,RUPWAS,403,BHARATPUR,27,77.05,Cwq
0,WEIR,403,BHARATPUR,27.01,77,Cwq
0,SEWAR BUNDH *,403,BHARATPUR,27.05,77,Cwq
0,HINGOTA*,403,BHARATPUR,27.07,77.02,Cwq
0,UCHAIN*,403,BHARATPUR,27.06,77.09,Cwq
0,HALENA*,403,BHARATPUR,27.07,77.07,Cwq
0,MOTIJHEEL*,403,BHARATPUR,27.04,77,Cwq
0,HINGOTA *,403,BHARATPUR,27.007,77.002,Cwq
0,NAGAUR,600,NAGAUR,27.012,74.045,Bshw
0,DIDWANA,600,NAGAUR,27.024,74.035,Bshw
0,PARBATSAR,600,NAGAUR,26.053,74.035,Bshw
0,MERTA CITY,108,NAGAUR,26.038,74.002,Bshw
0,NAWA,600,NAGAUR,27.001,75,Bshw
0,JAYAL,600,NAGAUR,27.013,74.012,Bshw
0,DEGANA,600,NAGAUR,26.054,74.02,Bshw
0,LADNU,600,NAGAUR,27.038,74.023,Bshw
0,SIKAR,600,SIKAR,27.037,75.009,Bshw
0,NEEM KA THANA,403,SIKAR,27.044,75.047,Bshw
0,DANTA RAMGARH,600,SIKAR,27.015,75.012,Bshw
0,SRIMADHOPUR,600,SIKAR,27.028,75.036,Bshw
0,FATEHPUR,600,SIKAR,27.059,74.058,Bshw
0,LAXMANGARH,600,SIKAR,27.049,75.002,Bshw
0,RAMGARH,600,SIKAR,27.015,75.01,Bshw
0,SIKAR (A),600,SIKAR,27.037,75.008,Bshw
0,JODHPUR,108,JODHPUR,26.018,73.002,Bshw
0,BILARA,108,JODHPUR,26.011,73.042,Bshw
