station,catchment,district,latitude,longitude,Koppen,Thorntwaite
JHUNJHUNU,403,JHUNJHUNU,28.008,75.023,Aw,DA'w
CHIRAWA,403,JHUNJHUNU,28.014,75.039,Aw,DA'w
KHETRI,403,JHUNJHUNU,28,75.048,Aw,DA'w
UDAIPURWATI,403,JHUNJHUNU,27.043,75.029,Aw,DA'w
PILANI (A),403,JHUNJHUNU,28.021,75.036,Bshw,DA'w
BHARATPUR,403,BHARATPUR,27.03,77,Cwq,DA'w
DEEG,403,BHARATPUR,27.08,77,Cwq,DA'w
KAMAN,403,BHARATPUR,27.09,77.06,Cwq,DA'w
KUMBHER,403,BHARATPUR,27.09,77.02,Cwq,DA'w
NAGAR,403,BHARATPUR,27.06,77.05,Cwq,DA'w
PAHARI,403,BHARATPUR,27.02,77,Cwq,DA'w
RUPWAS,403,BHARATPUR,27,77.05,Cwq,DA'w
WEIR,403,BHARATPUR,27.01,77,Cwq,DA'w
SEWAR BUNDH *,403,BHARATPUR,27.05,77,Cwq,DA'w
HINGOTA*,403,BHARATPUR,27.07,77.02,Cwq,DA'w
UCHAIN*,403,BHARATPUR,27.06,77.09,Cwq,DA'w
HALENA*,403,BHARATPUR,27.07,77.07,Cwq,DA'w
MOTIJHEEL*,403,BHARATPUR,27.04,77,Cwq,DA'w
HINGOTA *,403,BHARATPUR,27.007,77.002,Cwq,DA'w
NAGAUR,600,NAGAUR,27.012,74.045,Bshw,DA'w
DIDWANA,600,NAGAUR,27.024,74.035,Bshw,DA'w
PARBATSAR,600,NAGAUR,26.053,74.035,Bshw,DA'w
MERTA CITY,108,NAGAUR,26.038,74.002,Bshw,DA'w
NAWA,600,NAGAUR,27.001,75,Bshw,DA'w
JAYAL,600,NAGAUR,27.013,74.012,Bshw,DA'w
DEGANA,600,NAGAUR,26.054,74.02,Bshw,DA'w
LADNU,600,NAGAUR,27.038,74.023,Bshw,DA'w
SIKAR,600,SIKAR,27.037,75.009,Bshw,DA'w
NEEM KA THANA,403,SIKAR,27.044,75.047,Bshw,DA'w
DANTA RAMGARH,600,SIKAR,27.015,75.012,Bshw,DA'w
SRIMADHOPUR,600,SIKAR,27.028,75.036,Bshw,DA'w
FATEHPUR,600,SIKAR,27.059,74.058,Bshw,DA'w
LAXMANGARH,600,SIKAR,27.049,75.002,Bshw,DA'w
RAMGARH,600,SIKAR,27.015,75.01,Bshw,DA'w
SIKAR (A),600,SIKAR,27.037,75.008,Bshw,DA'w
JODHPUR,108,JODHPUR,26.018,73.002,Bshw,DA'w
BILARA,108,JODHPUR,26.011,73.042,Bshw,DA'w
SHERGARH,108,JODHPUR,26.02,72.018,Bshw,DA'w
OSIAN,108,JODHPUR,26.043,72.055,Bshw,DA'w
PHALODI,600,JODHPUR,27.008,72.022,Bshw,EA'd
JODHPUR (A),108,JODHPUR,26.018,73.001,Bshw,DA'w
BASWA,406,DAUSA,27.09,76.05,Cwq,DA'w
DAUSA,406,DAUSA,26.04,76,Cwq,DA'w
LALSOT,406,DAUSA,26.03,76,Cwq,DA'w
MAHUWA,406,DAUSA,27.03,76.05,Cwq,DA'w
SIKRAI,406,DAUSA,26.05,76.02,Cwq,DA'w
SENTHAL SAGAR *,406,DAUSA,27.06,76,Cwq,DA'w
MOREL DAM*,406,DAUSA,26.07,76.02,Cwq,DA'w
BASWA,406,DAUSA,27.009,76.035,Cwq,DA'w
LALSOT,406,DAUSA,26.033,76.02,Cwq,DA'w
MAHUWA,406,DAUSA,27.003,76.055,Cwq,DA'w
SIKRAI,406,DAUSA,26.055,76.042,Cwq,DA'w
SENTHAL SAGAR *,406,DAUSA,27.006,76.02,Cwq,DA'w
BASWA,403,JAIPUR,27.09,76,Cwq,DA'w
KISHANGANJ,405,BARAN,26.006,76.039,Cwq,DA'w
MANDAL,406,BHILWARA,25.09,74.05,Cwq,DA'w
SHAHPURA,406,BHILWARA,25.07,74.06,Cwq,DA'w
ARWAR DAM *,406,BHILWARA,25.08,74.09,Cwq,DA'w
KOTHARI DAM *,406,BHILWARA,25.08,75,Cwq,DA'w
AJMER,108,AJMER,26.027,74.037,Bshw,DA'w
ARAIN,406,AJMER,26.027,75.003,Cwq,DA'w
BHINAI,406,AJMER,26.004,74.046,Bshw,DA'w
GOELA,406,AJMER,26.007,74.057,Bshw,DA'w
KISHANGARH,406,AJMER,26.034,74.051,Bshw,DA'w
MANGALIAWAS,108,AJMER,26.017,74.037,Bshw,DA'w
NASIRABAD,406,AJMER,26.017,74.044,Bshw,DA'w
PISANGAN,108,AJMER,26.024,74.023,Bshw,DA'w
PUSHKAR,108,AJMER,26.03,74.033,Bshw,DA'w
SAWAR,406,AJMER,26.004,75.001,Cwq,DA'w
SRINAGAR,406,AJMER,26.026,74.04,Bshw,DA'w
AJMER,108,AJMER,26.07,74.07,Bshw,DA'w
ARAIN,406,AJMER,26.07,75.03,Cwq,DA'w
BHINAI,406,AJMER,26.04,74.06,Bshw,DA'w
JAWAJA,108,AJMER,25.07,74.03,Cwq,DA'w
KEKRI,406,AJMER,25.08,75.09,Cwq,DA'w
KISHANGARH,406,AJMER,26.04,74.01,Bshw,DA'w
NASIRABAD,406,AJMER,26.07,74.04,Bshw,DA'w
PISANGAN,108,AJMER,26.04,74.03,Bshw,DA'w
PUSHKAR,108,AJMER,26,74.03,Bshw,DA'w
SAWAR,406,AJMER,26.04,75.01,Cwq,DA'w
SRINAGAR,406,AJMER,26.06,74,Bshw,DA'w
SRINAGAR,406,AJMER,26.06,74.06,Bshw,DA'w
BEAWAR,108,AJMER,26.06,74.09,Bshw,DA'w
MALPURA,406,TONK,26.017,75.023,Cwq,DA'w
NIWAI,406,TONK,26.021,75.055,Cwq,DA'w
TODARAISINGH,406,TONK,26.002,75.029,Cwq,DA'w
