station,catchment,district,lat,lon
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,"250 42"" N","720 52"" E"
BITHAN *,108,,"240 57"" N","720 33"" E"
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,"250 42"" N","720 52"" E"
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,"250 42"" N","720 52"" E"
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,"250 42"" N","720 52"" E"
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,"250 42"" N","720 52"" E"
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,,
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,"250 42"" N","720 52"" E"
BHADRAGOAN *,108,JALORE,"240 57"" N","720 33"" E"
BITHAN *,108,JALORE,"240 57"" N","720 33"" E"
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,,
BHADRAGOAN *,108,JALORE,,
BITHANA *,108,JALORE,,
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,,
BHADRAGOAN *,108,JALORE,,
BITHANA *,108,JALORE,,
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,,
BHADRAGOAN *,108,JALORE,,
BITHANA *,108,JALORE,,
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,"250 42"" N","720 52"" E"
BITHAN *,108,JALORE,"240 57"" N","720 33"" E"
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,,
BHADRAGOAN *,108,JALORE,,
BITHANA *,108,JALORE,,
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,,
BHADRAGOAN *,108,JALORE,,
BITHANA *,108,JALORE,,
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,,
BHADRAGOAN *,108,JALORE,,
BITHANA *,108,JALORE,,
JALORE,108,JALORE,"250 21"" N","720 37"" E"
SANCHORE,108,JALORE,"240 45"" N","710 46"" E"
JASWANTPURA,108,JALORE,"240 48"" N","720 28"" E"
BHINMAL,108,JALORE,"250 01"" N","720 16"" E"
AHORE,108,JALORE,"250 20"" N","720 45"" E"
BANKLI *,108,JALORE,,
BHADRAGOAN *,108,JALORE,,
BITHANA *,108,JALORE,,
BARI,403,DHOLPUR,"260 39"" N","770 36"" E"
BASERI,403,DHOLPUR,"260 45"" N","770 32"" E"
DHOLPUR,403,DHOLPUR,"260 42"" N","770 53"" E"
RAJAKHERA,403,DHOLPUR,"260 54"" N","780 11"" E"
SEPAU,403,DHOLPUR,"260 49"" N","770 45"" E"
SIRMATHURA,403,DHOLPUR,"260 31"" N","770 22"" E"
DHOLPUR (A),403,DHOLPUR,"260 40"" N","770 50"" E"
TALABSHAHI,403,DHOLPUR,"260 37"" N","770 39"" E"
URMILA SAGAR,,DHOLPUR,,
BARI,403,DHOLPUR,"260 39"" N","770 36"" E"
BASERI,403,DHOLPUR,"260 45"" N","770 32"" E"
DHOLPUR,403,DHOLPUR,"260 42"" N","770 53"" E"
RAJAKHERA,403,DHOLPUR,"260 54"" N","780 11"" E"
SEPAU,403,DHOLPUR,"260 49"" N","770 45"" E"
SIRMATHURA,403,DHOLPUR,"260 31"" N","770 22"" E"
TALABSHAHI,403,DHOLPUR,"260 37"" N","770 39"" E"
URMILA SAGAR,,DHOLPUR,,
DHOLPUR (A),403,DHOLPUR,"260 40"" N","770 50"" E"
BARI,403,DHOLPUR,"260 39"" N","770 36"" E"
BASERI,403,DHOLPUR,"260 45"" N","770 32"" E"
DHOLPUR,403,DHOLPUR,"260 42"" N","770 53"" E"
RAJAKHERA,403,DHOLPUR,"260 54"" N","780 11"" E"
SEPAU,403,DHOLPUR,"260 49"" N","770 45"" E"
SIRMATHURA,403,DHOLPUR,"260 31"" N","770 22"" E"
DHOLPUR (A),403,DHOLPUR,"260 40"" N","770 50"" E"
TALABSHAHI *,403,DHOLPUR,"260 37"" N","770 39"" E"
URMILA SAGAR *,,DHOLPUR,,
BARI,403,DHOLPUR,"260 39"" N","770 36"" E"
BASERI,403,DHOLPUR,"260 45"" N","770 32"" E"
DHOLPUR,403,DHOLPUR,"260 42"" N","770 53"" E"
RAJAKHERA,403,DHOLPUR,"260 54"" N","780 11"" E"
SEPAU,403,DHOLPUR,"260 49"" N","770 45"" E"
SIRMATHURA,403,DHOLPUR,"260 31"" N","770 22"" E"
DHOLPUR (A),403,DHOLPUR,"260 40"" N","770 50"" E"
TALABSHAHI,403,DHOLPUR,"260 37"" N","770 39"" E"
URMILA SAGAR,,DHOLPUR,,
